,name,categories,address,cc,city,country,distance,formattedAddress,labeledLatLngs,lat,lng,state,postalCode,neighborhood,crossStreet,id
10,DATA Room,Design Studio,Rosenthaler Str. 38,DE,Berlin,Deutschland,1550,"['Rosenthaler Str. 38', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52452809302495, 'lng': 13.402263522148132}]",52.52452809302495,13.402263522148132,Berlin,10178,,,5ae97b34b23dfa002c8767a1
11,Data Artisans,Tech Startup,Stresemannstr. 121,DE,Berlin,Deutschland,2047,"['Stresemannstr. 121', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.49860577674459, 'lng': 13.383213666231978}]",52.49860577674459,13.383213666231978,Berlin,,,,5440d64c498e48202be19483
12,System Data,Office,,DE,Berlin,Deutschland,606,"['Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52063223992278, 'lng': 13.389677847914491}]",52.52063223992278,13.389677847914491,Berlin,,,,4fc8644be4b053dd7350ed79
13,DATA Kitchen,Breakfast Spot,Rosenthaler Str. 38,DE,Berlin,Deutschland,1542,"['Rosenthaler Str. 38', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52440519527105, 'lng': 13.402252195676223}]",52.52440519527105,13.402252195676223,Berlin,10178,Mitte,,57f38e78498e596994100d3d
14,Da Vinci Exploring Arts & Science,Art Museum,Niederkirchnerstr. 6,DE,Berlin,Deutschland,1078,"['Niederkirchnerstr. 6', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.507476217456265, 'lng': 13.38011655338374}]",52.507476217456265,13.38011655338374,Berlin,,,,5426d769498ebea268794a2d
15,Berlin Graduate School of Social Sciences (BGSS),College Academic Building,Luisenstr. 56,DE,Berlin,Deutschland,938,"['Luisenstr. 56 (Haus 1)', '10117 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.525190645226104, 'lng': 13.379695415496826}]",52.525190645226104,13.379695415496826,Berlin,10117,,Haus 1,4cfe5fa12d80a14362615cd8
16,Datawallet,Tech Startup,,DE,,Deutschland,1014,['Deutschland'],"[{'label': 'display', 'lat': 52.510807, 'lng': 13.372023}]",52.510807,13.372023,,,,,5b274bbbda7080002c26d556
17,Datamonk GmbH,Tech Startup,Rosenstr. 17,DE,Berlin,Deutschland,1589,"['Rosenstr. 17', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.52151107788086, 'lng': 13.405259132385254}]",52.52151107788086,13.405259132385254,Berlin,10178,,,5375ea0a498e28a8f809280c
18,Datagroup,IT Services,"Schützenstrasse, 25",DE,Berlin,Deutschland,1313,"['Schützenstrasse, 25', '10117 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.508642661941124, 'lng': 13.396683412882746}]",52.508642661941124,13.396683412882746,Berlin,10117,,,537c7589498e0dae7372cb37
19,Dataconomy,Office,,DE,Berlin,Deutschland,1946,"['10179 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.517883, 'lng': 13.411698}]",52.517883,13.411698,Berlin,10179,,,5d553e4d29e8f70008cf6968
20,Integral Ad Science GmbH,Tech Startup,Rosenthaler Strasse 38,DE,Berlin,Deutschland,1540,"['Rosenthaler Strasse 38', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.524283992683685, 'lng': 13.40234089045557}]",52.524283992683685,13.40234089045557,Berlin,10178,,,553aa011498e322eb4302920
21,datango AG,Office,Schönhauser Allee 10,DE,Berlin,Deutschland,2384,"['Schönhauser Allee 10', '10119 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.530014, 'lng': 13.410962}]",52.530014,13.410962,Berlin,10119,,,4d5d1aaf590b224be90fa86d
22,Datawallet,Office,Christinenstraße 19A,DE,Berlin,Deutschland,2506,"['Christinenstraße 19A', '10119 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.532177, 'lng': 13.410329}]",52.532177,13.410329,Berlin,10119,Prenzlauer Berg,,5b65cb101ffe97002c5d4bfc
23,datalove lounge,Playground,,DE,Berlin,Deutschland,2910,"['Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.51678930378004, 'lng': 13.425971045475972}]",52.51678930378004,13.425971045475972,Berlin,,,,53a49042498e65f063cf2069
24,data4u,Coworking Space,,DE,,Deutschland,2629,['Deutschland'],"[{'label': 'display', 'lat': 52.53282654976075, 'lng': 13.411830898151907}]",52.53282654976075,13.411830898151907,,,,,524d5aa311d23a1ae605dba7
25,datapine,Tech Startup,Oranienstraße 185,DE,Berlin,Deutschland,3174,"['Oranienstraße 185', '10999 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.500152587890625, 'lng': 13.420798301696777}]",52.500152587890625,13.420798301696777,Berlin,10999,,,53bd332a498e912b5c2074ed
26,Science  on Stage Deutschland e.V.,Coworking Space,"Poststraße 4, 10178 Berlin",DE,Berlin,Deutschland,1555,"['Poststraße 4, 10178 Berlin', '10178 Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.51715687675962, 'lng': 13.405967064308285}]",52.51715687675962,13.405967064308285,Berlin,10178,,,4f4cd869e4b0f0c700628c2b
27,Datapine GmbH,Tech Startup,Skalitzer Str. 33,DE,Berlin,Deutschland,3486,"['Skalitzer Str. 33', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.498807, 'lng': 13.424891}]",52.498807,13.424891,Berlin,,,,56f27369498e5a6203584017
28,AVA | Deep Data For A Safe World,Office,Alexanderstr. 7,DE,Berlin,Deutschland,2440,"['Alexanderstr. 7', 'Berlin', 'Deutschland']","[{'label': 'display', 'lat': 52.522298, 'lng': 13.417957}]",52.522298,13.417957,Berlin,,,,59078353780eee19affb2513
